source_table,source_column,target_table,target_column,cardinality,relationship_description,notes
context,blueprint_id,blueprint,blueprint_id,N:1,Many context rows belong to one blueprint.,"The core Tier 1 → blueprint relationship. Cascade delete: deleting a blueprint removes its context rows."
context,content_format,content_format,code,N:1,"Each context row has exactly one content format.","FK to the content_format lookup table. content_format.code is the primary key. Drives rendering and extraction behavior."
context,derived_from_context_id,context,context_id,N:1,"Lineage self-reference: a derived context row points to the source context row it was produced from.","NULL for primary context rows. Used for transcripts (derived from audio), OCR (derived from image), AI summaries (derived from raw context), manual extractions, and translations."
summary_section,blueprint_id,blueprint,blueprint_id,N:1,"Many summary sections belong to one blueprint (zero to eight per blueprint, one per section name).","Tier 2 → blueprint. Cascade delete. A unique constraint on (blueprint_id, section_name) should be considered."
model_definition,blueprint_id,blueprint,blueprint_id,N:1,Many model definitions belong to one blueprint.,"Tier 3 → blueprint. Cascade delete. A blueprint is the plan; a model definition is a tech-specific realization of it."
scenario,blueprint_id,blueprint,blueprint_id,N:1,Many scenarios belong to one blueprint.,"Cascade delete. Scenarios are first-class but always scoped to a blueprint."
blueprint_domain,blueprint_id,blueprint,blueprint_id,N:1,Join row points to one blueprint.,"Part of M:N between blueprint and domain."
blueprint_domain,domain_id,domain,domain_id,N:1,Join row points to one domain.,"Part of M:N between blueprint and domain."
domain,parent_domain_id,domain,domain_id,N:1,"Hierarchical self-reference for nested domains.","NULL for top-level domains. See 050_domain_taxonomy.md for the hierarchy."
model_definition_scenario,model_definition_id,model_definition,model_definition_id,N:1,"Join row points to one model definition.","Part of M:N between model_definition and scenario."
model_definition_scenario,scenario_id,scenario,scenario_id,N:1,"Join row points to one scenario.","Part of M:N between model_definition and scenario."
related_blueprint,blueprint_id,blueprint,blueprint_id,N:1,"Source side of the blueprint-to-blueprint relationship.","Self-reference via the related_blueprint join table."
related_blueprint,related_blueprint_id,blueprint,blueprint_id,N:1,"Target side of the blueprint-to-blueprint relationship.","Self-reference via the related_blueprint join table."
blueprint_modeling_feature,blueprint_id,blueprint,blueprint_id,N:1,"Join row points to one blueprint.","Part of M:N between blueprint and modeling_feature."
blueprint_modeling_feature,feature_code,modeling_feature,code,N:1,"Join row points to one modeling feature.","Part of M:N between blueprint and modeling_feature."
model_definition,des_product_code,des_product,code,N:1,"Model definition targets one DES product.","FK from model_definition to des_product lookup. Renamed from target_tech_name (free-text) in schema change #11. Nullable for proposed variants with no committed target tech."
des_product_capability,des_product_code,des_product,code,N:1,"Join row points to one DES product.","Part of M:N between des_product and product_capability. Added in schema change #12."
des_product_capability,capability_code,product_capability,code,N:1,"Join row points to one product capability.","Part of M:N between des_product and product_capability. Added in schema change #12."
proposal,reviewer_user_id,user,user_id,N:1,"Reviewer of the proposal.","FK deferred to future user table. NULL until proposal is reviewed."
proposal,"(target_table, target_row_id)","(polymorphic)","(varies by target_table)","N:1","Polymorphic reference to the row being proposed. Not a true foreign key because target_table varies.","Polymorphic FK pattern — the combination (target_table, target_row_id) identifies the specific row. Enforcement must happen in application layer, not via a single DB-level FK. When target_table='modeling_feature', target_row_id refers to modeling_feature.code; when 'domain', to domain.domain_id or domain.slug; when 'content_format', to content_format.code."
