table_name,column_name,data_type,nullable,is_primary_key,foreign_key_reference,description,example_value,notes
blueprint,blueprint_id,ID,N,Y,,Primary key for the blueprint.,e.g. uuid or bigserial,Specific type is a DBMS decision.
blueprint,title,"VARCHAR(255)",N,N,,"Human-readable title of the blueprint.","Airport Security Checkpoint Passenger Flow","Required. Shown in catalog cards and on the blueprint page."
blueprint,slug,"VARCHAR(255)",N,N,,"URL-safe identifier derived from the title.","airport-security-checkpoint-passenger-flow","Must be unique across all blueprints. Used in public URLs."
blueprint,status,ENUM,N,N,,"Current editorial status of the blueprint.","AI Discovered","Allowed values: AI Discovered, Stub, Draft, Reviewed, Featured. See 040_contributor_editorial_workflow.md."
blueprint,des_qualification_status,ENUM,N,N,,"Assessment against the DES qualification rubric from 018_des_criteria.md.","Required Pass","Allowed values: Required Pass, Required Fail, Typical Pass, Typical Fail, Pending Review."
blueprint,des_qualification_note,TEXT,Y,N,,"Optional narrative explaining the qualification assessment, especially for borderline or edge cases.","All three required criteria satisfied. Both typical criteria also present.",""
blueprint,complexity_indicator,ENUM,Y,N,,"Optional indicator of model complexity for navigation.","Intermediate","Allowed values: Beginner, Intermediate, Advanced, Not Classified."
blueprint,summary_of_content_provenance,TEXT,Y,N,,"Short narrative summary of what kinds of sources feed this blueprint.","Two first-party direct sources (PMC + GitHub); one second-party direct source (IEEE paywalled).","Populated by the Seeder or editor. Helps readers gauge source mix at a glance."
blueprint,intended_audience_note,TEXT,Y,N,,"Optional note about who this blueprint is written for.","Targeted at GE Appliances manufacturing engineering.","Used when a blueprint is written with a specific audience in mind. See 204_seeder_walkthrough_appliance_assembly_line.md."
blueprint,created_at,TIMESTAMP,N,N,,"When the blueprint was first created.",2026-04-13T10:00:00Z,""
blueprint,created_by_user_id,ID,Y,N,"user.user_id","Who created the blueprint. NULL when created by the Seeder (before user tables exist).","","FK deferred to future iteration when user tables are added."
blueprint,updated_at,TIMESTAMP,N,N,,"When the blueprint was last modified.",2026-04-13T15:30:00Z,""
blueprint,published_at,TIMESTAMP,Y,N,,"When the blueprint first moved off AI Discovered status (Stub or higher).",2026-04-14T08:00:00Z,"NULL for blueprints still in AI Discovered status."
context,context_id,ID,N,Y,,Primary key for the context row.,,""
context,blueprint_id,ID,N,N,"blueprint.blueprint_id","The blueprint this context row belongs to.","","Many context rows per blueprint."
